,SpecimenCode,Species,isSoil,isGround,isArboreal,MicrohabString,Caste,sortingID
0,jtlc000009887,myrmicinaesolenopsis jtl007,False,True,False,ex sifted leaf litter,worker,624688
0,jtlc000009888,formicinaeacropyga (indet),False,True,False,ex sifted leaf litter,worker,624689
0,jtlc000009889,myrmicinaestrumigenys elongata,False,True,False,ex sifted leaf litter,worker,624690
0,jtlc000009890,myrmicinaemyrmicocrypta (indet),False,True,False,ex sifted leaf litter,worker,624691
0,jtlc000009891,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,624692
0,jtlc000009892,ponerinaeodontomachus ruginodis,False,True,False,ex sifted leaf litter,worker,624693
0,jtlc000009893,ponerinaeodontomachus ruginodis,False,True,False,ex sifted leaf litter,queen,624694
0,jtlc000009894,myrmicinaerogeria cuneola,False,True,False,ex sifted leaf litter,queen,624695
0,jtlc000009895,myrmicinaerogeria cuneola,False,True,False,ex sifted leaf litter,queen,624696
0,jtlc000009896,ectatomminaegnamptogenys striatula,False,True,False,ex sifted leaf litter,worker,624697
0,jtlc000009897,ponerinaehypoponera jtl017,False,True,False,ex sifted leaf litter,worker,624698
0,jtlc000009898,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624699
0,jtlc000009899,ectatomminaegnamptogenys striatula,False,True,False,ex sifted leaf litter,worker,624700
0,jtlc000009900,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,624701
0,jtlc000009901,myrmicinaepheidole tikal,False,True,False,ex sifted leaf litter,worker,624702
0,jtlc000009902,formicinaeacropyga (indet),False,True,False,ex sifted leaf litter,male,624703
0,jtlc000009903,myrmicinaerogeria cuneola,False,True,False,ex sifted leaf litter,worker,624704
0,jtlc000009904,formicinaebrachymyrmex patagonicus,False,True,False,ex sifted leaf litter,worker,624705
0,jtlc000009905,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624706
0,jtlc000009906,myrmicinaetemnothorax mmp03,False,True,False,ex sifted leaf litter,worker,624707
0,jtlc000009907,myrmicinaepheidole tikal,False,True,False,ex sifted leaf litter,worker,624708
0,jtlc000009908,ponerinaehypoponera jtl017,False,True,False,ex sifted leaf litter,worker,624709
0,jtlc000009909,myrmicinaestrumigenys elongata,False,True,False,ex sifted leaf litter,worker,624710
0,jtlc000009910,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624711
0,jtlc000009911,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624712
0,jtlc000009912,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624713
0,jtlc000009913,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624714
0,jtlc000009914,myrmicinaeadelomyrmex jtl039-040,False,True,False,ex sifted leaf litter,worker,624715
0,jtlc000009915,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624716
0,jtlc000009916,myrmicinaeadelomyrmex jtl039-040,False,True,False,ex sifted leaf litter,worker,624717
0,jtlc000009917,proceratiinaediscothyrea humilis,False,True,False,ex sifted leaf litter,worker,624718
0,jtlc000009918,myrmicinaeoctostruma trithrix,False,True,False,ex sifted leaf litter,worker,624719
0,jtlc000009919,myrmicinaestrumigenys ludia_complex,False,True,False,ex sifted leaf litter,queen,624720
0,jtlc000009920,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624721
0,jtlc000009921,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,624722
0,jtlc000009922,ponerinaeodontomachus yucatecus,False,True,False,ex sifted leaf litter,worker,624723
0,jtlc000009923,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,624724
0,jtlc000009924,myrmicinaesolenopsis striata,False,True,False,ex sifted leaf litter,worker,624725
0,jtlc000009925,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624726
0,jtlc000009926,myrmicinaestrumigenys elongata,False,True,False,ex sifted leaf litter,worker,624727
0,jtlc000009927,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,624728
0,jtlc000009928,myrmicinaesolenopsis jtl007,False,True,False,ex sifted leaf litter,worker,624729
0,jtlc000009929,myrmicinaesolenopsis striata,False,True,False,ex sifted leaf litter,worker,624730
0,jtlc000009930,ponerinaehypoponera parva,False,True,False,ex sifted leaf litter,worker,624731
0,jtlc000009931,ponerinaeodontomachus meinerti,False,True,False,ex sifted leaf litter,worker,624732
0,jtlc000009932,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624733
0,jtlc000009933,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624734
0,jtlc000009934,myrmicinaesolenopsis brevicornis,False,True,False,ex sifted leaf litter,worker,624735
0,jtlc000009935,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,624736
0,jtlc000009936,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624737
0,jtlc000009937,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,624738
0,jtlc000009938,myrmicinaecarebara intermedia,False,True,False,ex sifted leaf litter,worker,624739
0,jtlc000009939,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624740
0,jtlc000009940,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624741
0,jtlc000009941,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,queen,624742
0,jtlc000009942,myrmicinaesolenopsis brevicornis,False,True,False,ex sifted leaf litter,worker,624743
0,jtlc000009943,myrmicinaesolenopsis brevicornis,False,True,False,ex sifted leaf litter,worker,624744
0,jtlc000009944,myrmicinaecarebara intermedia,False,True,False,ex sifted leaf litter,worker,624745
0,jtlc000009945,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624746
0,jtlc000009946,myrmicinaepheidole tuxtlasana,False,True,False,ex sifted leaf litter,worker,624747
0,jtlc000009947,myrmicinaepheidole wardi,False,True,False,ex sifted leaf litter,worker,624748
0,jtlc000009948,ponerinaeodontomachus meinerti,False,True,False,ex sifted leaf litter,worker,624749
0,jtlc000009949,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,queen,624750
0,jtlc000009950,myrmicinaestrumigenys elongata,False,True,False,ex sifted leaf litter,worker,624751
0,jtlc000009951,formicinaebrachymyrmex jtl010,False,True,False,ex sifted leaf litter,worker,624752
0,jtlc000009952,dolichoderinaetapinoma litorale,False,True,False,ex sifted leaf litter,worker,624753
0,jtlc000009953,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624754
0,jtlc000009954,myrmicinaemyrmicocrypta (indet),False,True,False,ex sifted leaf litter,worker,624755
0,jtlc000009955,myrmicinaestrumigenys biolleyi,False,True,False,ex sifted leaf litter,worker,624756
0,jtlc000009956,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624757
0,jtlc000009957,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624758
0,jtlc000009958,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,624759
0,jtlc000009959,myrmicinaestrumigenys alberti,False,True,False,ex sifted leaf litter,worker,624760
0,jtlc000009960,pseudomyrmecinaepseudomyrmex simplex,False,True,False,ex sifted leaf litter,worker,624761
0,jtlc000009961,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,624762
0,jtlc000009962,ponerinaeodontomachus meinerti,False,True,False,ex sifted leaf litter,worker,624763
0,jtlc000009963,ponerinaeanochetus mayri,False,True,False,ex sifted leaf litter,worker,624764
0,jtlc000009964,ponerinaehypoponera jtl019,False,True,False,ex sifted leaf litter,worker,624765
0,jtlc000009965,myrmicinaepheidole gulo,False,True,False,ex sifted leaf litter,worker,624766
0,jtlc000009966,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624767
0,jtlc000009967,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,queen,624768
0,jtlc000009968,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,624769
0,jtlc000009969,myrmicinaepheidole rectispina,False,True,False,ex sifted leaf litter,worker,624770
0,jtlc000009970,myrmicinaeoctostruma wheeleri,False,True,False,ex sifted leaf litter,worker,624771
0,jtlc000009971,myrmicinaesolenopsis geminata,False,True,False,ex sifted leaf litter,worker,624772
0,jtlc000009972,formicinaeacropyga (indet),False,True,False,ex sifted leaf litter,queen,624773
0,jtlc000009973,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,624774
0,jtlc000009974,myrmicinaepheidole specularis,False,True,False,ex sifted leaf litter,worker,624775
0,jtlc000009975,myrmicinaeoctostruma balzani,False,True,False,ex sifted leaf litter,worker,624776
0,jtlc000009976,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624777
0,jtlc000009977,myrmicinaepheidole rectispina,False,True,False,ex sifted leaf litter,worker,624778
0,jtlc000009978,myrmicinaepheidole albipes,False,True,False,ex sifted leaf litter,worker,624779
0,jtlc000009979,myrmicinaesolenopsis striata,False,True,False,ex sifted leaf litter,worker,624780
0,jtlc000009980,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,624781
0,jtlc000009981,ponerinaeodontomachus laticeps,False,True,False,ex sifted leaf litter,worker,624782
0,jtlc000009982,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,624783
0,jtlc000009983,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,624784
0,jtlc000009984,myrmicinaeoctostruma ascrobis,False,True,False,ex sifted leaf litter,worker,624785
0,jtlc000009985,dolichoderinaeazteca (indet),False,False,True,"on low veg., at night.",worker,624786
0,jtlc000009986,dolichoderinaeazteca (indet),False,False,False,ex 3m tall Cordia nodosa,worker,624787
0,jtlc000009987,dolichoderinaeazteca (indet),False,False,False,ex 3m tall Cordia nodosa,worker,624788
0,jtlc000009988,dolichoderinaeazteca (indet),False,False,False,ex 3m tall Cordia nodosa,worker,624789
0,jtlc000009989,dolichoderinaeazteca (indet),False,False,False,ex 3m tall Cordia nodosa,worker,624790
0,jtlc000009990,dolichoderinaeazteca (indet),False,False,False,general collecting,worker,624791
0,jtlc000009991,dolichoderinaeazteca (indet),False,False,False,general collecting,worker,624792
0,jtlc000009992,myrmicinaecrematogaster jtl035,False,False,False,"at tuna, jam bait",worker,624793
0,jtlc000009993,myrmicinaepheidole longiscapa,False,False,False,general collecting,worker,624794
0,jtlc000009994,myrmicinaepheidole caribbaea,False,False,False,under bromeliad on fallen tree,worker,624795
0,jtlc000009995,myrmicinaepheidole caribbaea,False,False,False,strays,worker,624796
0,jtlc000009996,myrmicinaepheidole caribbaea,False,False,False,strays,worker,624797
0,jtlc000009997,myrmicinaepheidole caribbaea,False,False,False,strays,worker,624798
0,jtlc000009998,myrmicinaepheidole caribbaea,False,False,False,strays,worker,624799
0,jtlc000009999,myrmicinaepheidole caribbaea,False,False,False,strays,worker,624800
0,jtlc000010000,myrmicinaepheidole rhinomontana,False,True,False,ex sifted leaf litter on ground,worker,624801
0,jtlc000010001,myrmicinaepheidole exarata,False,False,True,"Freshly cut canopy tree; strays on foliage and branches, in epiphytes",worker,624802
0,jtlc000010002,myrmicinaepheidole fallax,False,False,False,nest in soil,worker,624803
0,jtlc000010003,myrmicinaepheidole fallax,False,False,False,foraging at night,worker,624804
0,jtlc000010004,myrmicinaepheidole jelskii,False,False,False,mound nests in road,worker,624805
0,jtlc000010005,myrmicinaepheidole fallax,False,False,False,general collecting,worker,624806
0,jtlc000010006,myrmicinaepheidole fallax,False,False,False,general collecting,worker,624807
0,jtlc000010007,myrmicinaepheidole fallax,False,False,False,general collecting,worker,624808
0,jtlc000010008,myrmicinaepheidole fallax,False,False,False,nest in soil,worker,624809
0,jtlc000010009,myrmicinaepheidole hizemops,False,False,False,at bait,worker,624810
0,jtlc000010017,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624818
0,jtlc000010018,ponerinaehypoponera trigona,False,True,False,ex sifted leaf litter,worker,624819
0,jtlc000010019,ponerinaehypoponera jtl019,False,True,False,ex sifted leaf litter,worker,624820
0,jtlc000010020,myrmicinaelachnomyrmex scrobiculatus,False,True,False,ex sifted leaf litter,worker,624821
0,jtlc000010021,myrmicinaeadelomyrmex silvestrii,False,True,False,ex sifted leaf litter,worker,624822
0,jtlc000010022,myrmicinaeadelomyrmex dentivagans,False,True,False,ex sifted leaf litter,worker,624823
0,jtlc000010023,myrmicinaeadelomyrmex dentivagans,False,True,False,ex sifted leaf litter,worker,624824
0,jtlc000010024,myrmicinaecyphomyrmex costatus,False,True,False,ex sifted leaf litter,worker,624825
0,jtlc000010025,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,624826
0,jtlc000010026,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,624827
0,jtlc000010027,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,624828
0,jtlc000010028,myrmicinaeoctostruma wheeleri,False,True,False,ex sifted leaf litter,worker,624829
0,jtlc000010029,myrmicinaeoctostruma balzani,False,True,False,ex sifted leaf litter,worker,624830
