"","V1","V2","V3","V4"
"1","focol1622","149.419701034879","112.865465695669","84.3748562667689"
"2","14l345b-3","172.059768637532","127.127892030848","75.1574550128535"
"3","14d618c","86.8197492163009","80.166144200627","73.4085684430512"
"4","14l318-3","86.8546781685468","82.0285335102853","77.6615792966158"
"5","amnh-nj1029","118.235612728504","95.0873392010833","37.3757616790792"
"6","amnh-bufb80","164.67532942899","116.352855051245","33.1786237188873"
"7","amnh-buph01","143.70423563778","126.957643622201","26.0004868549172"
"8","anic32-900079","147.262899262899","105.214578214578","79.8976248976249"
"9","anic32-900080-1","160.416356877323","108.819083023544","74.5086741016109"
"10","anic32-900055-2","112.085347432024","88.2726586102719","78.0770392749245"
"11","anic32-066653","140.347063621533","84.2438825448613","39.4567699836868"
"12","anic32-066657","119.896619496855","72.9933176100629","52.1906446540881"
"13","anic32-066621","109.155043227666","100.104322766571","93.7406340057637"
"14","anic32-002188","135.993395898505","118.121654501217","101.706291275634"
"15","anic32-066666","132.651045701007","89.4899302865995","63.0689388071263"
"16","antweb1008013","117.487070276848","106.493154852449","93.5129297231518"
"17","antweb1008014","162.340213278294","127.765049879601","102.337117303062"
"18","antweb1008022","165.424068767908","128.428080229226","107.030945558739"
"19","antweb1008023","194.45706940874","158.172750642674","138.734190231362"
"20","anic32-900220","100.286616660087","87.8630082905646","79.6087643110936"
"21","anic32000054","152.409433962264","110.303301886792","80.5632075471698"
"22","antweb1008011","138.002926543752","118.316652033948","103.592917764121"
"23","antweb1008004","154.549033149171","125.302486187845","99.8497928176796"
"24","anic32-900187","134.86839012926","98.3390129259694","78.9365452408931"
"25","anic32-900121-2","178.099092812282","126.817864619679","93.2777390090719"
"26","anic32037651","158.940572663425","131.0037817396","83.9330091842247"
"27","antweb1008045","134.770353733857","104.417742841101","97.6516002245929"
"28","antweb1008060","69.5653008962868","63.9731113956466","60.6331626120359"
"29","antweb1008061","113.728869374314","105.770581778266","107.346871569704"
"30","antweb1008037","92.9779874213836","77.8723270440252","75.8619496855346"
"31","antweb1008058","108.217584369449","74.1465364120781","55.0941385435169"
"32","antweb1008039","79.9782986111111","61.3797743055556","52.2265625"
"33","antweb1008067","111.373099415205","81.2210526315789","63.4350877192982"
"34","antweb1008033","56.2798833819242","57.6242306446388","55.2413346290897"
"35","antweb1008111","115.66769095698","96.9666374012291","88.3173836698859"
"36","antweb1008112","152.108211330363","113.273392743475","68.3357733927435"
"37","antweb1008102","151.762593516209","118.737157107232","88.0718204488778"
"38","antweb1008098","85.0240572171652","60.9499349804941","25.9031209362809"
"39","antweb1008073","72.2060377358491","63.7267924528302","65.4543396226415"
"40","antweb1008108","133.352708058124","107.031263760458","85.9299867899604"
"41","antweb1008107","119.076318742985","101.85241301908","95.6851851851852"
"42","antweb1008113","152.356413166856","115.568104426788","73.9267877412032"
"43","antweb1008119","117.933156095708","107.281428028864","106.528294720851"
"44","antweb1008371","101.920533481523","76.8241178105029","66.6768546818561"
"45","antweb1008372","121.920223243598","71.8729481286934","47.5206828627708"
"46","antweb1008383","151.378126817917","154.027923211169","135.091913903432"
"47","antweb1008387","66.5550737207285","55.3448973691818","54.4446371783753"
"48","antweb1008361","186.181595092025","141.972392638037","90.2319018404908"
"49","antweb1008394","72.2203985932005","72.0382962094568","77.2969910121141"
"50","antweb1008365","132.231656184486","81.811320754717","39.7320055904962"
"51","antweb1008396","89.5768302493966","77.4473049074819","81.8455349959775"
"52","antweb1008388","80.2950819672131","53.135669869983","42.4352741661956"
"53","antweb1008432","199.70939017809","130.432002158662","57.8086886130599"
"54","antweb1008434","153.791012452626","125.661072008663","117.28722252301"
"55","antweb1008401","65.3318260869565","52.7812173913043","50.328"
"56","antweb1008402","94.9576433121019","99.9592356687898","104.913694267516"
"57","antweb1008441","135.55359901143","100.078776645042","69.786530738338"
"58","antweb1008411","111.959898843931","103.339956647399","108.630419075145"
"59","antweb1008443","148.369366068157","72.1740564309271","20.5921582997435"
"60","antweb1008416","76.0375642546461","60.1063661526295","59.57848952155"
"61","antweb1008415","102.83865248227","80.3836879432624","77.0152482269503"
"62","antweb1008439","103.916243654822","44.0554145516074","19.7631133671743"
